Date,AAPL_TECH_Close,AMZN_TECH_Close,GOOG_TECH_Close,JNJ_HP_Close,MRK_HP_Close
2010-01-10,4521760852.0,1334725474.7838,1169483682.8258002,603495100.0,429753516.5162
2010-04-10,4331876511.256,830792629.6535,1013581938.6478,536750994.5928,337258548.0
2010-05-10,5179942597.452001,904089371.9,1887601967.8584,781194307.5606,394973784.00000006
2010-06-10,6928877203.192,941848283.6351999,1476006402.7763999,716788746.6602,279103497.9174
2010-07-10,4218476270.6856,722279958.488,1269755717.6634,621237661.8266001,510188224.10220003
2010-08-10,6914879608.0,1076157140.7552,1533522759.5094001,465044004.0,320408328.0
2010-11-10,4512185428.4304,686553787.5136,1415131816.302,390693923.8279,205538737.57619998
2010-12-10,5955275999.792,826339562.8768,2032150922.7479,551091354.7074,404520244.95960003
2010-10-13,6754140642.026401,874041564.7343999,1660078709.06,642456846.2094,362767067.99999994
2010-10-14,4699801642.074,625868268.9759,3588548025.4026,550248315.2653999,354574479.0888
2010-10-15,10366119006.516,1668708709.8644998,8916335876.411999,843262407.0,555188545.0254
2010-10-18,12413478863.1336,1035547415.3374001,4384594804.17,690588436.8140999,394678952.99999994
2010-10-19,13626225367.776001,1193991734.95,2788635192.4221,1090828483.2354,378789092.00000006
2010-10-20,8003072215.910799,918762756.4192,2143152190.342,649152459.5864,357667426.3386
2010-10-21,6095996557.559999,2224208038.4825,1787288211.01,711037705.2234,384838279.254
2010-10-22,4093501685.238,2759931073.592,1381925051.9357998,432299994.7748,234865247.33879998
2010-10-25,4328855860.0,1103722100.0,1947129909.9428,498704906.0,398747498.688
2010-10-26,4322926979.336,796997505.9312,1554468211.5094001,454725936.0,263323038.0
2010-10-27,4386608454.0012,958458689.391,1382031469.9919999,757506477.0,441873311.88060004
2010-10-28,6007244981.1136,781545277.2624,1351141336.896,642972970.116,364608872.1297
2010-10-29,4627688015.0032,825902135.006,1398168418.1152,593413044.6198,553023101.2306
2010-01-11,4604950420.3332,851902952.4798,1898522848.1980002,595883630.644,350446875.0
2010-02-11,4794306847.96,701238604.26,1229668922.04,551418556.6321,365499605.98359996
2010-03-11,5678978057.8636,1029705493.1121,2096474589.4894,598385617.6442001,347217382.9796
2010-04-11,7303023603.568,1249389335.2287,2229122100.5543003,734210046.6748,434709338.72220004
2010-05-11,4091579753.4304,890087414.8488,1103692360.0723999,599725743.553,803357122.503
2010-08-11,3206209416.5024,981374968.53,1317015488.3616,545801468.9688,487538050.3128
2010-09-11,4329663675.624,677436237.9144,1397794010.598,592841716.563,746515908.7014
2010-10-11,4364134762.2208,942967209.8806001,1555294530.3008,690365840.7954,666582300.9330001
2010-11-11,4085734743.552,969694900.5415,1395820270.8427,582279221.781,497003219.88460004
2010-12-11,8755167151.9228,1186368157.8758,2046922238.0104997,824195390.1104,824581149.2437
2010-11-15,4425827964.684,1533162482.1083999,2071556887.6622002,816463703.2706001,452902309.11239994
2010-11-16,7083594843.15,1036835485.4286001,1930568151.9845,988204124.3490001,751345715.9327999
2010-11-17,5145521189.0432,716517942.1494,1425288775.8600001,467709721.4169,690509954.0322001
2010-11-18,5446997101.3584,1022007488.5494,1545055901.3034,600008401.8002,552842568.6657
2010-11-19,4215819866.9776,735888367.2536,1357395724.8939002,822755959.7796,552034814.2502
2010-11-22,4399072799.3856,1046620568.8575,1292734543.508,711220692.8208,518094307.00000006
2010-11-23,5727466637.8272,1087463440.6041,1260784903.9959002,928369840.2335,638310988.337
2010-11-24,4651453260.8964,1780033125.0,1425737317.6190002,607039715.5913999,375075126.3414
2010-11-26,2672838000.0,756927507.1852,773540607.2240001,288997235.3612,247516941.11459997
2010-11-29,5044855710.3672,1740155598.475,1664649098.112,744114863.0,462330961.6725
2010-11-30,5576897025.0,1186089839.4268,3955194878.6853,777591912.3665,1333523693.6865
2010-01-12,5217784040.0,1018711172.3103,2118614279.8551002,959064543.2706,1161215281.1208
2010-02-12,5258987685.0,977552522.4624001,1456911631.3208,636041019.6791999,1327614415.6949
2010-03-12,3878354992.8704,862149565.6475,1507642025.8899999,618267977.8828,382397829.16719997
2010-06-12,5127906323.7248,1006730326.9626,1210942458.0096,559115808.989,375913050.0
2010-07-12,4448734960.922,897478987.3084,1786166279.8404,593739537.5288,644098292.7897
2010-08-12,3690876722.9908004,657015174.9117,1037498964.2641001,491600162.8719,302411597.0854
2010-09-12,3359206704.0,796529202.3330001,1105421893.7683,804645148.9656,314530908.36439997
2010-10-12,3005378111.4951997,626173092.1725,1009516995.0227998,709321443.0,432311904.024
2010-12-13,5052695733.3384,732285625.0,1426142642.9664001,845756119.6721,679228682.3695999
2010-12-14,4015155590.432,641021089.3706,977580372.3144001,846842624.0,602058893.5278
2010-12-15,4774645201.536,1020149525.6735001,1279578632.7631998,721688637.0,558441780.0
2010-12-16,3694728282.9912,733791831.1495,944851285.9984001,695204662.2822,368381580.00000006
2010-12-17,4430477473.7244005,800406343.0146,1823816785.8632,998200955.961,683456448.0
2010-12-20,4437411678.0,1601093075.8529,1174204366.8285,556598447.814,391334750.0
2010-12-21,2968212990.134,944257250.0,1133443145.681,492997188.0,360142956.0
2010-12-22,3088109514.0112,476329743.1095,731113477.704,548883202.0,312546010.6291
2010-12-23,2579059671.8796,613173724.5672001,671170500.9984,450036375.0,262924686.24509996
2010-12-27,2896795138.44,409705713.7506,727718309.7803999,319787941.0,157230954.0
2010-12-28,2044928085.3960001,357652742.1,637705460.7,394278103.6458,196193145.4197
2010-12-29,1895269656.0,572132721.3995,612527119.974,308705335.9687,181158624.997
2010-12-30,1820522812.9984,358409300.0,592536845.5317,357399988.2299,184144326.77260002
2010-12-31,2229212160.0,621342000.0,914256768.93,308099580.0372,197924477.49179998
